Symbol,Approved.Symbol
DKFZP586E2023,MXRA8
DKFZP586F0422,C2CD2
DKFZP586F0922,FAM229B
DKFZP586F1018,MYRIP
DKFZP586F1019,EDRF1
DKFZP586F1023,RBM19
DKFZP586F1318,SH3YL1
DKFZP586F1524,POLDIP2
DKFZP586G0123,SLC25A24
DKFZP586G0522,TRAF3IP2
DKFZP586G1122,ZNF385A
DKFZP586G1123,MAF1
DKFZP586G1517,MTHFD1L
DKFZP586G1722,C1orf43
DKFZP586G1822,POM121
DKFZP586G1919,TMEM43
DKFZP586H0523,IL33
DKFZP586H0723,RAP1B
DKFZP586H1322,TMEM131L
DKFZP586H2123,PAMR1
DKFZP586I021,TRAF7
DKFZP586I0418,ATG10
DKFZP586I1023,CCZ1B
DKFZP586I1419,WWTR1
DKFZP586J0119,EIF2B4
DKFZP586J0523,NPDC1
DKFZP586J0619,INTS1
DKFZP586J0917,HDAC7
DKFZP586K0617,TNS1
DKFZP586K0717,FIP1L1
DKFZP586K0919,SENP3
DKFZP586L0724,NOL11
DKFZP586L151,OLFML2B
DKFZP586L2024,ABI3BP
DKFZP586M0122,POLR1A
DKFZP586M1019,CCDC9
DKFZP586M1120,DRC3
DKFZP586M121,EMILIN1
DKFZP586M1523,TPGS2
DKFZP586M1819,GPAT4
DKFZP586O0120,FAM32A
DKFZP586O0223,ASCC2
DKFZP586O1422,RAPGEF2
DKFZP586O1624,LRIG1
DKFZP586O1822,NLRP1
DKFZP586P0123,C2CD3
DKFZP586P1522,L3MBTL1
DKFZP586P2219,NUDT13
DKFZP586P2220,POM121
DKFZP666A212,MAIP1
DKFZP666G057,SAXO2
DKFZP666G166,URGCP
DKFZP666G247,GAS6
DKFZP666K071,PTCD3
DKFZP666P1710,SPAG16
DKFZP667A205,TIGIT
DKFZP667B0210,EBF3
DKFZP667B1218,PDE12
DKFZP667C165,KATNAL2
DKFZP667D152,C1orf198
DKFZP667E1824,CEP95
DKFZP667F074,RALGAPA1
DKFZP667G2110,CRYBG3
DKFZP667I133,GIMAP8
DKFZP667J212,ZNF783
DKFZP667M1322,NABP1
DKFZP667M2411,LRRC37BP1
DKFZP667N1320,ATAD2
DKFZP667O0311,NXF1
DKFZP667O2416,ZDHHC18
DKFZP667P0924,ANKRD36C
DKFZP686A01247,LIMCH1
DKFZP686A0127,FAM225A
DKFZP686A04236,HMGB1
DKFZP686A06115,NIPAL1
DKFZP686A10121,GTPBP10
DKFZP686A1627,PHF2P1
DKFZP686A17109,NRK
DKFZP686A1775,SLC46A3
DKFZP686B07267,CASTOR3P
DKFZP686B0797,ZNF568
DKFZP686B1036,RETREG3
DKFZP686B15167,SACS
DKFZP686B2197,ZNF542P
DKFZP686C0433,CCDC66
DKFZP686C06101,RPL21
DKFZP686C06120,ZBTB41
DKFZP686C0818,FOSB
DKFZP686C1178,MSRB3
DKFZP686C12170,ARHGEF7
DKFZP686C132,EYA3
DKFZP686C2281,FMN1
DKFZP686C23231,TMCO4
DKFZP686D0972,ACTBL2
DKFZP686D143,PRICKLE2
DKFZP686E01200,CHD2
DKFZP686E0316,LARP1B
DKFZP686E10109,NUDCD2
DKFZP686E1583,SAMD7
DKFZP686E205,FRYL
DKFZP686E2158,SMIM15
DKFZP686E2433,ZNF879
DKFZP686F03259,AFMID
DKFZP686F0372,KIAA0825
DKFZP686F06123,ZNF600
DKFZP686F0810,FAM221A
DKFZP686F102,RBM33
DKFZP686F22190,HEPHL1
DKFZP686F2227,VWA3B
DKFZP686G0351,DENND2C
DKFZP686G052,ARID2
DKFZP686G0786,GBP6
DKFZP686G12159,DAP3
DKFZP686G13268,RBKS
DKFZP686G16228,ZNF320
DKFZP686H1038,ZNF551
DKFZP686H18209,MISP
DKFZP686H2240,DNAAF8
DKFZP686I0110,ALS2CL
DKFZP686I068,SPTY2D1
DKFZP686I14213,COL4A2
DKFZP686I15217,LINC01011
DKFZP686I1569,ZNF772
DKFZP686I1842,RGPD5
DKFZP686J0529,POTEC
DKFZP686J07229,PHETA2
DKFZP686J0796,DNHD1
DKFZP686J0811,FREM2
DKFZP686K16132,AAK1
DKFZP686K19184,SPINK5
DKFZP686L0365,ARRB2
DKFZP686L05235,SNHG20
DKFZP686L09111,MIER3
DKFZP686L1814,LIN54
DKFZP686L20116,PABIR2
DKFZP686L20145,WDR44
DKFZP686L2452,MRNIP
DKFZP686M0199,GTF2H2B
DKFZP686M05161,TJP1
DKFZP686M0843,BLTP2
DKFZP686M16108,FREM1
DKFZP686M18236,CD68
DKFZP686M2086,BCAP29
DKFZP686M22243,PLEKHA7
DKFZP686N0351,TIPARP
DKFZP686N06141,SNHG9
DKFZP686N0877,SPRYD4
DKFZP686N1651,CEP20
DKFZP686N19164,ZNF30
DKFZP686O0290,DCUN1D3
DKFZP686O0457,URGCP
DKFZP686O06159,MIR22HG
DKFZP686O1327,TEX41
DKFZP686O1689,ANKRD33
DKFZP686O18124,TMEM44
DKFZP686O24166,NCR3LG1
DKFZP686P02188,WIPI2
DKFZP686P0288,RGPD4
DKFZP686P0734,FAM95B1
DKFZP686P0776,RNF6
DKFZP686P11128,TAGLN
DKFZP686P15118,MBLAC2
DKFZP686P15184,HEATR5B
DKFZP686P24239,MSL1
DKFZP727A071,PARS2
DKFZP727C091,KANSL1
DKFZP727G051,PHF19
DKFZP727G131,FAM200A
DKFZP727I051,GPSM1
DKFZP727M111,RPAP1
DKFZP727M231,TRPC4AP
DKFZP761A052,OTUD5
DKFZP761A0620,PGBD5
DKFZP761A078,SASS6
DKFZP761A132,FLYWCH1
DKFZP761A179,LRRC4B
DKFZP761B039,HDAC10
DKFZP761B0514,PSD2
DKFZP761B107,CCDC149
DKFZP761B128,ZNF664
DKFZP761B1514,FYTTD1
DKFZP761C07121,DIRAS2
DKFZP761C121,SLF1
DKFZP761C169,GPBP1
DKFZP761C241,VEZT
DKFZP761D0211,FAM234A
DKFZP761D0223,TBC1D15
DKFZP761D0712,MPP2
DKFZP761D081,RNF111
DKFZP761D112,MMP16
DKFZP761D221,SGIP1
DKFZP761E1824,SUSD1
DKFZP761E198,AP5B1
DKFZP761E2110,TIGD6
DKFZP761F0118,JMJD1C
DKFZP761F222,UTP3
DKFZP761F241,CCDC3
DKFZP761G0123,IWS1
DKFZP761G058,PPM1K
DKFZP761G122,HPCAL4
DKFZP761G1812,ZNF506
DKFZP761G1913,NRIP2
DKFZP761G1923,PI4K2A
DKFZP761G2113,ATXN7L3
DKFZP761H039,SVOP
DKFZP761H0421,RUNDC1
DKFZP761H079,ARL13B
DKFZP761H1120,PDXDC2P
DKFZP761H171,RRAGD
DKFZP761H1710,RNF208
DKFZP761H172,BANP
DKFZP761H221,PRICKLE4
DKFZP761I1011,ATP13A4
DKFZP761I141,L3MBTL2
DKFZP761I172,NUDT12
DKFZP761I2123,ZMIZ2
DKFZP761I2124,EXOC6
DKFZP761J1324,SOX2-OT
DKFZP761J139,ZCCHC9
DKFZP761J1523,GARNL3
DKFZP761J17121,TMEM47
DKFZP761K032,VWA5B2
DKFZP761K1021,ARHGEF7
DKFZP761K1423,PSD3
DKFZP761K2222,JAZF1
DKFZP761K2312,PLEKHO2
DKFZP761L0424,KIAA1217
DKFZP761L1417,TMEM130
DKFZP761L1518,LRRC56
DKFZP761M0212,SESN2
DKFZP761M0423,CAMKK1
DKFZP761M1511,NEURL1B
DKFZP761M2312,PRR29
DKFZP761N0624,SLC37A3
DKFZP761N0823,IFT22
DKFZP761N1114,MFSD4A
DKFZP761O0113,LRP2BP
DKFZP761O17121,RTL6
DKFZP761O2018,TMEM132C
DKFZP761P0423,PRAG1
DKFZP761P0710,ADGRV1
DKFZP761P1010,STYK1
DKFZP761P1121,TANGO2
DKFZP761P211,STUM
DKFZP762A152,SENP3
DKFZP762A2013,QSOX2
DKFZP762A217,TMTC2
DKFZP762A227,SLC43A3
DKFZP762A2316,SENP2
DKFZP762B245,FMNL3
DKFZP762C1112,TMEM64
DKFZP762C143,UBE2Q2
DKFZP762C186,EHBP1L1
DKFZP762C2414,ASB16-AS1
DKFZP762D096,C19orf12
DKFZP762E1112,NCOA4
DKFZP762E1312,HJURP
DKFZP762F0713,GPR137C
DKFZP762F133,CRISPLD1
DKFZP762F1811,HIF1AN
DKFZP762F2011,DHX33
DKFZP762G094,PYROXD1
DKFZP762G199,NAIF1
DKFZP762H1311,CEP41
DKFZP762I137,ZNF786
DKFZP762I194,BBS5
DKFZP762K013,ZNF48
DKFZP762K054,GBA2
DKFZP762K137,FNDC3B
DKFZP762K2015,SMARCAD1
DKFZP762K222,STOX2
DKFZP762L1111,CD109
DKFZP762M115,DHTKD1
DKFZP762M126,BMT2
DKFZP762M186,PGS1
DKFZP762N1910,HNRNPUL2
DKFZP762N2316,ZNF462
DKFZP762O076,PIP4P2
DKFZP779B126,EEIG2
DKFZP779B1540,BNIP5
DKFZP779B1634,ANKRD62
DKFZP779C0666,TBC1D4
DKFZP779D216,RPL19
DKFZP779E2460,ASB11
DKFZP779F115,NHLRC2
DKFZP779G1236,PCLO
DKFZP779J0927,RBM14
DKFZP779L1068,TRIQK
DKFZP779L1558,CCDC91
DKFZP779M2348,TNNT3
DKFZP779O175,ZNF829
DKFZP779O2438,SLC10A7
DKFZP779P1149,DENND2C
DKFZP781A10161,SLC25A34
DKFZP781B0869,AXIN2
DKFZP781B1548,DNAH14
DKFZP781D015,SYT11
DKFZP781D0275,ZNF28
DKFZP781D0314,NAV1
DKFZP781D1727,CHD2
DKFZP781E1243,UPRT
DKFZP781E17107,PPP6R3
DKFZP781E2374,PPP6R3
DKFZP781F0822,MROH2B
DKFZP781F1775,ZNF284
DKFZP781G0119,C18orf63
DKFZP781H0392,RNF43
DKFZP781I1117,PTBP3
DKFZP781I1119,MIER3
DKFZP781I12161,AKAP11
DKFZP781M09150,FAM99B
DKFZP781M2411,RALGAPB
DKFZP781O2362,PPP6R3
DKK-1,DKK1
DKK1,DKK1
DKK2,DKK2
DKK3,DKK3
DKK4,DKK4
DKKL1,DKKL1
DKKL1P1,DKKL1P1
DKKL2,DKKL1P1
DL,EDAR
DLAD,DNASE2B
DLAT,DLAT
DLB1,DLEU1
DLB2,DLEU2
DLC-1,DLC1
DLC1,DLEC1
DLC1,DYNLL1
DLC1,DLC1
DLC2,DYNLL2
DLC2,STARD13
DLC8,DYNLL1
DLD,DLD
DLDBP,PDHX
DLDH,DLD
DLEC,CLEC4C
DLEC1,DLEC1
DLEC1P1,DLEC1P1
DLEU1,DLEU1
DLEU1-AS1,DLEU1-AS1
DLEU2,DLEU2
DLEU2L,DLEU2L
DLEU5,TRIM13
DLEU7,DLEU7
DLEU7-AS1,DLEU7-AS1
DLEU8,RNASEH2B
DLG1,DLGAP5
DLG1,DLG1
DLG1-AS1,DLG1-AS1
DLG2,MPP2
DLG2,DLG2
DLG2-AS,DLG2-AS1
DLG2-AS1,DLG2-AS1
DLG2-AS2,DLG2-AS2
DLG2AS,DLG2-AS1
DLG3,MPP3
DLG3,DLG3
DLG3-AS1,DLG3-AS1
DLG4,LLGL1
DLG4,DLG4
DLG5,DLG5
DLG5-AS1,DLG5-AS1
DLG6,MPP4
DLG7,DLGAP5
DLGAP1,DLGAP1
DLGAP1-AS1,DLGAP1-AS1
DLGAP1-AS2,DLGAP1-AS2
DLGAP1-AS3,DLGAP1-AS3
DLGAP1-AS4,DLGAP1-AS4
DLGAP1-AS5,DLGAP1-AS5
DLGAP2,DLGAP2
DLGAP2-AS1,DLGAP2-AS1
DLGAP3,DLGAP3
DLGAP4,DLGAP4
DLGAP4-AS1,DLGAP4-AS1
DLGAP5,DLGAP5
DLGAP5P1,DLGAP5P1
DLGAP5P2,DLGAP5P2
DLGH1,DLG1
DLK,MAP3K12
DLK1,DLK1
DLK2,DLK2
DLL1,DLL1
DLL3,DLL3
DLL4,DLL4
DLM-1,ZBP1
DLM1,ZBP1
DLNB11,BCL9L
DLNB13,FOXR1
DLNB14,CENATAC
DLP,TXNL4B
DLP12,DNAH12
DLP3,DNAH3
DLR1,IGHD2-8
DLST,DLST
DLSTP,DLSTP1
DLSTP1,DLSTP1
DLTA,DLAT
DLTS,DLST
DLX1,DLX1
DLX2,DLX2
DLX2-AS1,DLX2-DT
DLX2-DT,DLX2-DT
DLX3,DLX3
DLX4,DLX4
DLX5,DLX5
DLX6,DLX6
DLX6-AS1,DLX6-AS1
DLX6-AS2,DLX6-AS2
DLX7,DLX4
DLX8,DLX4
DLX9,DLX4
DLXIN-1,MAGED1
DM,DMPK
DM1,DMPK
DM1,IGHD1-7
DM1-AS,DM1-AS
DM1PK,DMPK
DM2,CNBP
DM2,IGHD1-14
DM4E3,C11orf24
DMAC1,DMAC1
DMAC1P1,DMAC1P1
DMAC2,DMAC2
DMAC2L,DMAC2L
DMAHP,SIX5
DMAP1,DMAP1
DMBT1,DMBT1
DMBT1L1,DMBT1L1
DMBT1P1,DMBT1L1
DMBX1,DMBX1
DMC,CXCL17
DMC,DYM
DMC1,HID1
DMC1,DMC1
DMD,DMD
DMD-AS3,DMD-AS3
DMDA,SGCG
DMDA1,SGCG
DMDA2,SGCA
DMDL,UTRN
DMDRMR,LINC00944
DMGDH,DMGDH
DMGDHL1,SARDH
DMK,DMPK
DMKN,DMKN
DMN,SYNM
DMP1,DMTF1
DMP1,DMP1
DMP3,DSPP
DMP4,FAM20C
DMPK,DMPK
DMPK2,CDC42BPG
DMR,WDR20
DMR-N9,DMWD
DMRT1,DMRT1
DMRT2,DMRT2
DMRT3,DMRT3
DMRTA1,DMRTA1
DMRTA2,DMRTA2
DMRTA3,DMRT3
DMRTB1,DMRTB1
DMRTC1,DMRTC1
DMRTC1-AS1,FAM236A
DMRTC1B,DMRTC1B
DMRTC2,DMRTC2
DMT,DMTN
DMT-1,SLC11A2
DMT1,DMRT1
DMT1,SLC11A2
DMTF,DMTF1
DMTF1,DMTF1
DMTF1-AS1,DMTF1-AS1
DMTN,DMTN
DMWD,DMWD
DMXL1,DMXL1
DMXL1-DT,DMXL1-DT
DMXL2,DMXL2
DN-7,TAF9B
DN1,IGHD6-13
DN7,TAF9B
DNA-PKC,PRKDC
DNA-PKCS,PRKDC
DNA2,DNA2
DNA2L,DNA2
DNA43,MCM10
DNAAF1,DNAAF1
DNAAF10,DNAAF10
DNAAF11,DNAAF11
DNAAF11P1,DNAAF11P1
DNAAF12,LRRC56
DNAAF13,SPAG1
DNAAF14,PIH1D1
DNAAF15,PIH1D2
DNAAF16,CFAP298
DNAAF17,CFAP300
DNAAF18,DAW1
DNAAF2,DNAAF2
DNAAF3,DNAAF3
DNAAF3-AS1,DNAAF3-AS1
DNAAF4,DNAAF4
DNAAF4-CCPG1,DNAAF4-CCPG1
DNAAF5,DNAAF5
DNAAF6,DNAAF6
DNAAF7,ZMYND10
DNAAF8,DNAAF8
DNAAF9,DNAAF9
DNABF,GCFC2
DNACH,SCNN1D
DNAH1,DNAH1
DNAH10,DNAH10
DNAH10OS,DNAH10OS
DNAH11,DNAH11
DNAH12,DNAH12
DNAH12L,DNAH12
DNAH14,DNAH14
DNAH17,DNAH17
DNAH17-AS1,DNAH17-AS1
DNAH17L,DNAH9
DNAH2,DNAH2
DNAH3,DNAH3
DNAH5,DNAH5
DNAH6,DNAH6
DNAH7,DNAH7
DNAH7L,DNAH12
DNAH8,DNAH8
DNAH8-AS1,DNAH8-AS1
DNAH8-DT,DNAH8-DT
DNAH9,DNAH9
DNAHBL,DNAH11
DNAHC1,DNAH1
DNAHC11,DNAH11
DNAHC14,DNAH14
DNAHC3,DNAH12
DNAHC3B,DNAH3
DNAHC5,DNAH5
DNAHC6,DNAH6
DNAHC9,DNAH9
DNAHL1,DNAH17
DNAI1,DNAI1
DNAI2,DNAI2
DNAI3,DNAI3
DNAI4,DNAI4
DNAI7,DNAI7
DNAI8,NME8
DNAJ,DNAJA2
DNAJ,DNAJC14
DNAJA1,DNAJA1
DNAJA1P1,DNAJA1P1
DNAJA1P2,DNAJA1P2
DNAJA1P3,DNAJA1P3
DNAJA1P4,DNAJA1P4
DNAJA1P5,DNAJA1P5
DNAJA1P6,DNAJA1P6
DNAJA2,DNAJA2
DNAJA2-DT,DNAJA2-DT
DNAJA3,DNAJA3
DNAJA4,DNAJA4
DNAJA4-DT,DNAJA4-DT
DNAJA5,DNAJC21
DNAJB1,DNAJB1
DNAJB11,DNAJB11
DNAJB12,DNAJB12
DNAJB12P1,DNAJB12P1
DNAJB13,DNAJB13
DNAJB14,DNAJB14
DNAJB1P,DNAJB1P1
DNAJB1P1,DNAJB1P1
DNAJB1P2,DNAJB1P2
DNAJB2,DNAJB2
DNAJB3,DNAJB3
DNAJB4,DNAJB4
DNAJB5,DNAJB5
DNAJB5-AS1,DNAJB5-DT
DNAJB5-DT,DNAJB5-DT
DNAJB5P1,DNAJB5P1
DNAJB6,DNAJB6
DNAJB6P1,DNAJB6P1
DNAJB6P2,DNAJB6P2
DNAJB6P3,DNAJB6P3
DNAJB6P4,DNAJB6P4
DNAJB6P5,DNAJB6P5
DNAJB6P6,DNAJB6P6
DNAJB6P7,DNAJB6P7
DNAJB6P8,DNAJB6P8
DNAJB7,DNAJB7
DNAJB8,DNAJB8
DNAJB8-AS1,DNAJB8-AS1
DNAJB9,DNAJB9
DNAJC1,DNAJC1
DNAJC10,DNAJC10
DNAJC11,DNAJC11
DNAJC12,DNAJC12
DNAJC13,DNAJC13
DNAJC14,DNAJC14
DNAJC15,DNAJC15
DNAJC16,DNAJC16
DNAJC17,DNAJC17
DNAJC17P1,DNAJC17P1
DNAJC18,DNAJC18
DNAJC19,DNAJC19
DNAJC19P1,DNAJC19P1
DNAJC19P2,DNAJC19P2
DNAJC19P3,DNAJC19P3
DNAJC19P4,DNAJC19P4
DNAJC19P5,DNAJC19P5
DNAJC19P6,DNAJC19P6
DNAJC19P7,DNAJC19P7
DNAJC19P8,DNAJC19P8
DNAJC19P9,DNAJC19P9
DNAJC2,DNAJC2
DNAJC20,HSCB
DNAJC21,DNAJC21
DNAJC22,DNAJC22
DNAJC23,SEC63
DNAJC24,DNAJC24
DNAJC25,DNAJC25
DNAJC25-GNG10,DNAJC25-GNG10
DNAJC26,GAK
DNAJC27,DNAJC27
DNAJC27-AS1,DNAJC27-AS1
DNAJC28,DNAJC28
DNAJC29,SACS
DNAJC3,DNAJC3
DNAJC3-AS1,DNAJC3-DT
DNAJC3-DT,DNAJC3-DT
DNAJC30,DNAJC30
DNAJC4,DNAJC4
DNAJC5,DNAJC5
DNAJC5A,DNAJC5
DNAJC5B,DNAJC5B
DNAJC5G,DNAJC5G
DNAJC6,DNAJC6
DNAJC7,DNAJC7
DNAJC8,DNAJC8
DNAJC8P1,DNAJC8P1
DNAJC8P2,DNAJC8P2
DNAJC8P3,DNAJC8P3
DNAJC8P4,DNAJC8P4
DNAJC9,DNAJC9
DNAJC9-AS1,DNAJC9-AS1
DNAJD1,DNAJC15
DNAJL1,DNAJC1
DNAL1,DNAH9
DNAL1,DNAL1
DNAL4,DNAL4
DNALI1,DNALI1
DNAM-1,CD226
DNAM1,CD226
DNAPK,PRKDC
DNAPKC,PRKDC
DNAPTP6,SPATS2L
DNAS1L1,DNASE1L1
DNAS1L2,DNASE1L2
DNAS1L3,DNASE1L3
DNASE1,DNASE1
DNASE1L1,DNASE1L1
DNASE1L2,DNASE1L2
DNASE1L3,DNASE1L3
DNASE2,DNASE2
DNASE2B,DNASE2B
DNASEX,DNASE1L1
DNB1,RERE
DNB5,SLC45A1
DNC,SLC25A19
DNCH1,DYNC1H1
DNCH2,DYNC2H1
DNCHC1,DYNC1H1
DNCI1,DYNC1I1
DNCI2,DYNC1I2
DNCIC1,DYNC1I1
DNCL,DYNC1H1
DNCL1,DYNLL1
DNCL1B,DYNLL2
DNCL1P1,DYNLL1P1
DNCL1P2,DYNLL1P2
DNCL2A,DYNLRB1
DNCL2B,DYNLRB2
DNCLI1,DYNC1LI1
DNCLI2,DYNC1LI2
DND1,DND1
DND1P1,DND1P1
DND1P2,DND1P2
DNECL,DYNC1H1
DNEL2,DNAH17
DNER,DNER
DNF15S2,APEH
DNF15S2,MST1
DNGR-1,CLEC9A
DNHBL,DNAH11
DNHD1,DNHD1
DNHD1L,DNHD1
DNHD2,DNAH12
DNHD3,DNAH2
DNHL1,DNAH6
DNJ3,DNAJA2
DNL,DNASE2
DNL1,DNASE1
DNL1L,DNASE1L1
DNL2,DNASE2
DNLC2A,DYNLRB1
DNLC2B,DYNLRB2
DNLZ,DNLZ
DNM,DNM1
DNM1,DNM1
DNM1DN10-1,DNM1P37
DNM1DN10-2,DNM1P38
DNM1DN10@,DNM1P37
DNM1DN10@,DNM1P38
DNM1DN11-10,DNM1P43
DNM1DN11-13,DNM1P44
DNM1DN11-3,DNM1P39
DNM1DN11-5,DNM1P40
DNM1DN11-6,DNM1P41
DNM1DN11-8,DNM1P38
DNM1DN11@,DNM1P38
DNM1DN11@,DNM1P39
DNM1DN11@,DNM1P40
DNM1DN11@,DNM1P41
DNM1DN11@,DNM1P43
DNM1DN11@,DNM1P44
DNM1DN12-2,DNM1P45
DNM1DN12@,DNM1P45
DNM1DN14-3,DNM1P47
DNM1DN14.2,DNM1P46
DNM1DN14@,DNM1P46
DNM1DN14@,DNM1P47
DNM1DN15-1,DNM1P24
DNM1DN15-3,DNM1P25
DNM1DN15@,DNM1P24
DNM1DN15@,DNM1P25
DNM1DN16-1,DNM1P26
DNM1DN16-3,DNM1P27
DNM1DN16@,DNM1P26
DNM1DN16@,DNM1P27
DNM1DN17,DNM1P17
DNM1DN17@,DNM1P17
DNM1DN18,DNM1P18
DNM1DN19,DNM1P19
DNM1DN3-1,DNM1P28
DNM1DN3-2,DNM1P29
DNM1DN3-3,DNM1P28
DNM1DN3-4,DNM1P30
DNM1DN3@,DNM1P28
DNM1DN3@,DNM1P29
DNM1DN3@,DNM1P30
DNM1DN4-2,DNM1P31
DNM1DN4-3,DNM1P30
DNM1DN4-5,DNM1P32
DNM1DN4@,DNM1P30
DNM1DN4@,DNM1P31
DNM1DN4@,DNM1P32
DNM1DN5,DNM1P5
DNM1DN5@,DNM1P5
DNM1DN7-2,DNM1P33
DNM1DN7@,DNM1P33
DNM1DN8-1,DNM1P34
DNM1DN8-2,DNM1P35
DNM1DN8-3,DNM1P36
DNM1DN8-5,DNM1P34
DNM1DN8@,DNM1P34
DNM1DN8@,DNM1P35
DNM1DN8@,DNM1P36
DNM1DN8@,DNM1P49
DNM1DN9,DNM1P9
DNM1DN9-1,DNM1P9
DNM1DN9@,DNM1P9
DNM1L,DNM1L
DNM1P17,DNM1P17
DNM1P18,DNM1P18
DNM1P19,DNM1P19
DNM1P24,DNM1P24
DNM1P25,DNM1P25
DNM1P26,DNM1P26
DNM1P27,DNM1P27
DNM1P28,DNM1P28
DNM1P29,DNM1P29
DNM1P30,DNM1P30
DNM1P31,DNM1P31
DNM1P32,DNM1P32
DNM1P33,DNM1P33
DNM1P34,DNM1P34
DNM1P35,DNM1P35
DNM1P36,DNM1P36
DNM1P37,DNM1P37
DNM1P38,DNM1P38
DNM1P39,DNM1P39
DNM1P40,DNM1P40
DNM1P41,DNM1P41
DNM1P42,DNM1P38
DNM1P43,DNM1P43
DNM1P44,DNM1P44
DNM1P45,DNM1P45
DNM1P46,DNM1P46
DNM1P47,DNM1P47
DNM1P48,DNM1P48
DNM1P49,DNM1P49
DNM1P5,DNM1P5
DNM1P50,DNM1P50
DNM1P51,DNM1P51
DNM1P9,DNM1P9
DNM2,DNM2
DNM3,DNM3
DNM3-AS1,DNM3OS
DNM3-IT1,DNM3-IT1
DNM3OS,DNM3OS
DNMAP1,DMAP1
DNMBP,DNMBP
DNMBP-AS1,DNMBP-AS1
DNMT,DNMT1
DNMT1,DNMT1
DNMT2,TRDMT1
DNMT3A,DNMT3A
DNMT3AP1,DNMT3AP1
DNMT3B,DNMT3B
DNMT3L,DNMT3L
DNMT3L-AS1,DNMT3L-AS1
DNMTAP1,DMAP1
DNPEP,DNPEP
DNPEP-AS1,DNPEP-AS1
DNPH1,DNPH1
DNPI,SLC17A6
DNPK1,PRKDC
DNT-1,NT5C
DNT-2,NT5M
DNT1,NT5C
DNT2,NT5M
DNTNP,FAM53A
DNTT,DNTT
DNTTIP1,DNTTIP1
DNTTIP2,DNTTIP2
DNZ1,ZDHHC21
DO,ART4
DOA1,PLAA
DOB1,MTREX
DOC-1,CDK2AP1
DOC-1,FILIP1L
DOC-1R,CDK2AP2
DOC-2,DAB2
DOC1,ANAPC10
DOC1,CDK2AP1
DOC2A,DOC2A
DOC2B,DOC2B
DOC2BL,DOC2B
DOC2GP,DOC2GP
DOC4,TENM4
DOC6,AVIL
DOCK1,DOCK1
DOCK10,DOCK10
DOCK11,DOCK11
DOCK11P1,DOCK11P1
DOCK180,DOCK1
DOCK2,DOCK2
DOCK3,DOCK3
DOCK4,DOCK4
DOCK4-AS1,DOCK4-AS1
DOCK5,DOCK5
DOCK6,DOCK6
DOCK6-AS1,DOCK6-AS1
DOCK7,DOCK7
DOCK7-DT,DOCK7-DT
DOCK8,DOCK8
DOCK8-AS1,DOCK8-AS1
DOCK8-AS2,DOCK8-AS2
DOCK9,DOCK9
DOCK9-AS1,DOCK9-AS1
DOCK9-AS2,DOCK9-DT
DOCK9-DT,DOCK9-DT
DOD,PIN1
DOG1,ANO1
DOHH,DOHH
DOK-2,DOK2
DOK-7,DOK7
DOK1,ART4
DOK1,DOK1
DOK2,DOK2
DOK3,DOK3
DOK4,DOK4
DOK5,DOK5
DOK5L,DOK6
DOK6,DOK6
DOK7,DOK7
DOLK,DOLK
DOLPP1,DOLPP1
DOM,SOX10
DOM3Z,DXO
DOMO1,SRCAP
DON-1,NRG2
DONG1,PCGF3
DONSON,DONSON
DONSONP1,DONSONP1
DOP1A,DOP1A
DOP1B,DOP1B
DOPEY1,DOP1A
DOPEY2,DOP1B
DOPPEL,PRND
DOR,TP53INP2
DOR1,COG8
DORA,IGSF6
DORC1,CDK2AP1
DORFIN,RNF19A
DORZ1,ABHD14A
DOS,CBARP
DOT1,DOT1L
DOT1L,DOT1L
DOT3,SNF8
DOWN16,CFHR3
DP,PTGDR
DP-1,TFDP1
DP-2,TFDP2
DP1,PTGDR
DP1,REEP5
DP1,TFDP1
DP103,DDX20
DP1L1,REEP6
DP2,APC
DP2,PTGDR2
DP2.5,APC
DP2B,HLA-DPB2
DP3,APC
DP3,JUP
DP5,HRK
DP58,ANKRD34B
DP8,DPP8
DP97,DDX54
DPAGT,DPAGT1
DPAGT1,DPAGT1
DPAGT2,DPAGT1
DPB11,TOPBP1
DPB2,HLA-DPB2
DPC4,SMAD4
DPCD,DPCD
DPCK,COASY
DPCR1,MUCL3
DPD,DPYD
DPD1,TGFB1
DPDE1,PDE4C
DPDE2,PDE4A
DPDE3,PDE4D
DPDE4,PDE4B
DPE2,POLE2
DPEP1,DPEP1
DPEP2,DPEP2
DPEP2NB,DPEP2NB
DPEP3,DPEP3
DPF1,DPF1
DPF2,DPF2
DPF3,DPF3
DPH1,DPH1
DPH1-AS1,DPH1-AS1
DPH2,DPH2
DPH2L,DPH1
DPH2L1,DPH1
DPH2L2,DPH2
DPH3,DPH3
DPH3A,DPH3
DPH3B,DPH3P1
DPH3P1,DPH3P1
DPH3P2,DPH3P2
DPH4,DNAJC24
DPH5,DPH5
DPH5-DT,DPH5-DT
DPH6,DPH6
DPH6-AS1,DPH6-DT
DPH6-DT,DPH6-DT
DPH7,DPH7
DPI,DSP
DPII,DSP
DPIII,JUP
DPK,KCNK1
DPK,TAOK3
DPL,PRND
DPL1,DPP6
DPL11,DNAH11
DPL2,DPP10
DPM1,DPM1
DPM2,DPM2
DPM3,DPM3
DPP1,CTSC
DPP10,DPP10
DPP10-AS1,DPP10-AS1
